ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS2295280411,1.064849163,2026-12-03,0.375,1,97.13993712,0.028767123,3.607014362,2025-12-31,ACT/ACT
XS2066578126,1.253595466,2026-12-15,1.375,2,97.76949956,0.06043956,3.8746778,2025-12-31,ACT/ACT
XS2052961740,1.968781637,2026-12-17,1.25,2,97.72919692,0.048076923,3.76179676,2025-12-31,ACT/ACT
FR0013482866,3.036009375,2027-02-11,1.125,1,98.00295795,0.995547945,3.917987796,2025-12-31,ACT/ACT
XS2464407514,1.087330746,2027-04-04,2.125,1,99.43389973,1.577739726,3.898467959,2025-12-31,ACT/ACT
XS2742532158,1.684591676,2027-07-09,4.5,2,102.6265457,2.139945652,4.209906822,2025-12-31,ACT/ACT
XS2429214294,2.297251872,2027-07-15,1.5,2,96.9600787,0.688858696,4.060052639,2025-12-31,ACT/ACT
XS2281152822,1.707843388,2027-12-08,0.625,2,93.60972176,0.039491758,4.154827079,2025-12-31,ACT/ACT
XS2732133090,1.517606627,2027-12-12,5,2,101.637109,0.260989011,4.300271843,2025-12-31,ACT/ACT
XS2574218561,1.322067638,2028-01-12,5,2,103.7314465,2.336956522,4.321257055,2025-12-31,ACT/ACT
XS2565082901,1.329197513,2028-01-13,5.248,2,104.2338287,2.438608696,4.362799468,2025-12-31,ACT/ACT
XS2429208056,1.708850727,2028-10-12,1.625,2,93.74005286,0.357142857,4.21304363,2025-12-31,ACT/ACT
XS0092541969,0.867054029,2028-11-27,6.125,1,105.6069783,0.561458333,4.24056454,2025-12-31,30E/360
XS2729188644,1.883888178,2028-11-30,5.375,2,103.3792501,0.460290055,4.343362999,2025-12-31,ACT/ACT
XS2285179763,2.160407557,2028-12-14,0.75,2,90.75063747,0.035027473,4.163503742,2025-12-31,ACT/ACT
XS2787862346,1.531578597,2029-03-22,4.5,1,104.9523899,3.501369863,3.996554078,2025-12-31,ACT/ACT
XS1608101652,1.297162362,2029-05-03,1.8,1,94.74595466,1.193424658,3.895249831,2025-12-31,ACT/ACT
