ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS0834641358,1.834271344,2026-09-30,3.5,2,99.79672376,0.299723757,4.104428254,2025-10-31,ACT/ACT
XS2295280411,1.066495699,2026-12-03,0.375,1,96.71006589,0.34109589,3.838067543,2025-10-31,ACT/ACT
XS2066578126,1.254298376,2026-12-15,1.375,2,97.49563262,0.518442623,4.200022139,2025-10-31,ACT/ACT
XS2052961740,1.970314673,2026-12-17,1.25,2,97.49851087,0.464480874,4.0017699,2025-10-31,ACT/ACT
FR0013482866,3.039393557,2027-02-11,1.125,1,97.30571425,0.807534247,3.976645529,2025-10-31,ACT/ACT
XS2464407514,1.087022373,2027-04-04,2.125,1,98.75450274,1.22260274,3.932870372,2025-10-31,ACT/ACT
XS2742532158,1.683265053,2027-07-09,4.5,2,101.9848317,1.394021739,4.173820839,2025-10-31,ACT/ACT
XS2429214294,2.294997002,2027-07-15,1.5,2,96.24023739,0.440217391,4.112901016,2025-10-31,ACT/ACT
XS2281152822,1.70531099,2027-12-08,0.625,2,93.08896929,0.24760929,4.260714288,2025-10-31,ACT/ACT
XS2732133090,1.519018711,2027-12-12,5,2,103.3678595,1.926229508,4.323141889,2025-10-31,ACT/ACT
XS2574218561,1.32181074,2028-01-12,5,2,102.8278022,1.508152174,4.408394688,2025-10-31,ACT/ACT
XS2565082901,1.329194626,2028-01-13,5.248,2,103.4526357,1.568695652,4.385117857,2025-10-31,ACT/ACT
XS2429208056,1.715909611,2028-10-12,1.625,2,93.18112143,0.084821429,4.179269782,2025-10-31,ACT/ACT
XS0092541969,0.914858833,2028-11-27,6.125,1,111.131165,5.665625,4.190574206,2025-10-31,30E/360
XS2729188644,1.925896818,2028-11-30,5.375,2,105.3099907,2.249320652,4.348748894,2025-10-31,ACT/ACT
XS2285179763,2.157525923,2028-12-14,0.75,2,90.85871607,0.284836066,4.032715033,2025-10-31,ACT/ACT
XS2787862346,1.523204587,2029-03-22,4.5,1,104.3410951,2.749315068,3.972610956,2025-10-31,ACT/ACT
XS1608101652,1.293424629,2029-05-03,1.8,1,94.41963274,0.89260274,3.805421128,2025-10-31,ACT/ACT
XS1269175466,2.676098205,2029-07-31,3.05,2,97.88955,0.7625,3.917161254,2025-10-31,ACT/ACT
XS0228265574,0.745368153,2029-08-30,4.55,1,102.1949267,0.772876712,4.137190718,2025-10-31,ACT/ACT
XS2055110758,1.654570236,2029-09-21,1.625,2,90.75321801,0.179558011,4.327111355,2025-10-31,ACT/ACT
XS2892966032,1.51352107,2029-10-05,4.625,2,100.8727471,0.330357143,4.522042627,2025-10-31,ACT/ACT
XS2899774579,1.128334885,2029-10-12,4.5,2,100.6943601,0.23489011,4.419159066,2025-10-31,ACT/ACT
XS2730682528,1.917855437,2029-12-07,4.95,2,104.8807102,1.974590164,4.214085004,2025-10-31,ACT/ACT
XS2837824254,1.515147537,2029-12-12,4.88,2,103.45283,1.88,4.505776476,2025-10-31,ACT/ACT
XS2570858303,2.277562656,2030-01-10,5,2,104.0178661,1.535326087,4.391476498,2025-10-31,ACT/ACT
XS0106655235,0.429193055,2030-01-31,6.25,1,111.71745,4.6875,4.394011594,2025-10-31,ISMA-30/360
XS0107203381,0.668812383,2030-02-25,6.125,2,104.4920628,1.105902778,5.305058675,2025-10-31,ISMA-30/360
XS3168797135,1.484924006,2030-10-28,4.7,2,101.1802763,0.038736264,4.491745917,2025-10-31,ACT/ACT
XS3173764054,1.481228514,2030-11-01,4.8026,2,101.5008945,0.587274457,4.645822917,2025-10-31,ACT/ACT
XS2228291279,1.584041022,2030-12-10,1,1,87.16660096,0.890410959,4.024596653,2025-10-31,ACT/ACT
XS0121617517,1.989941772,2030-12-19,5.75,2,109.5697111,2.092361111,4.16101084,2025-10-31,ISMA-30/360
XS0416848793,3.369213207,2031-03-11,6.875,1,116.0358742,4.407534247,4.385819239,2025-10-31,ACT/ACT
XS2800802501,0.956721033,2031-04-15,5.082,2,102.2753446,0.223384615,4.705437113,2025-10-31,ACT/ACT
XS2811733240,1.526003585,2031-04-30,4.875,2,102.6094029,0.013392857,4.386163116,2025-10-31,ACT/ACT
XS3162369527,1.480916867,2031-08-27,4.75,2,101.9037146,0.838994565,4.590183071,2025-10-31,ACT/ACT
XS2464407860,1.976290462,2032-04-04,2.5,1,91.22718616,1.438356164,4.353773112,2025-10-31,ACT/ACT
XS2496686309,0.847283053,2032-07-14,3.25,2,93.62697587,0.96263587,4.581609509,2025-10-31,ACT/ACT
XS2689046626,1.516058916,2032-09-21,5.125,1,104.9771838,0.561643836,4.346477078,2025-10-31,ACT/ACT
XS3190849912,1.850251116,2032-09-29,5,2,101.388079,0.44198895,4.895066552,2025-10-31,ACT/ACT
XS2354308194,1.161242326,2033-06-23,1.375,1,80.65344603,0.489726027,4.497989336,2025-10-31,ACT/ACT
XS0419834931,3.87764255,2034-03-27,5.625,2,107.689535,0.515625,4.639020667,2025-10-31,ISMA-30/360
XS0202077953,3.075127112,2035-09-28,5.25,2,104.8176067,0.466666667,4.750471522,2025-10-31,ISMA-30/360
XS2787862429,1.447033779,2036-03-22,4.75,1,101.0244948,2.902054795,4.982431733,2025-10-31,ACT/ACT
XS0161353999,0.409786534,2036-07-13,5.396,2,104.1482148,1.612934783,4.960938723,2025-10-31,ACT/ACT
XS0702029132,2.790978447,2036-11-04,5,1,103.6390055,4.945205479,5.158276973,2025-10-31,ACT/ACT
XS0298709188,1.047861648,2037-05-05,5.5,1,105.9994803,2.697260274,5.109429993,2025-10-31,ACT/ACT
XS2724943639,1.490076862,2038-12-07,5.125,1,104.0936495,4.605479452,5.17850334,2025-10-31,ACT/ACT
XS0279211832,1.316732369,2039-01-19,4.875,2,99.65716833,1.367708333,5.117012222,2025-10-31,ISMA 30/360
XS2014278944,2.549333625,2039-06-19,2.375,1,71.86975781,0.871917808,5.441443762,2025-10-31,ACT/ACT
XS0969574598,1.124644741,2041-04-10,4.25,1,90.23802247,2.375342466,5.428233739,2025-10-31,ACT/ACT
