ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
BE6316405560,1.202504432,2024-09-30,1.25,1,94.72219767,0.623287671,5.443345559,2023-03-31,ACT/ACT
XS2416968399,1.702484628,2024-12-02,1.375,1,93.71722767,0.448287671,5.698925297,2023-03-31,ACT/ACT
FR0013425451,1.714458248,2024-12-19,1.75,1,94.4767611,0.489041096,5.501721608,2023-03-31,ACT/ACT
XS1558450745,0.869412888,2025-05-02,2.125,1,95.93988863,1.93869863,5.230354651,2023-03-31,ACT/ACT
XS1608101066,1.293696923,2025-05-03,1.375,1,95.48796493,1.250684932,4.31576503,2023-03-31,ACT/ACT
XS2465774474,2.627294457,2025-06-10,2.625,1,96.72461356,2.114383562,5.285205623,2023-03-31,ACT/ACT
XS1640854144,1.028321645,2025-07-07,1.375,1,94.99006192,1.005821918,4.208207929,2023-03-31,ACT/ACT
XS2492172122,1.272469157,2025-09-02,4.125,2,98.09375794,0.325067935,5.180413378,2023-03-31,ACT/ACT
FR001400E5E0,1.641732427,2025-09-25,4.875,1,100.7219367,1.682876712,5.292474202,2023-03-31,ACT/ACT
XS0564485273,2.78509447,2025-12-01,5.125,1,102.4462815,1.684931507,4.80373059,2023-03-31,ACT/ACT
FR0013480027,1.975193356,2025-12-05,1.25,1,90.70406027,0.397260274,5.212883623,2023-03-31,ACT/ACT
XS2297626645,1.293987473,2025-12-09,0.875,1,88.68943315,0.268493151,5.625916014,2023-03-31,ACT/ACT
XS2354271095,1.972269091,2025-12-18,0.625,1,90.83071986,0.176369863,4.343634958,2023-03-31,ACT/ACT
XS2489652581,1.215664776,2026-01-14,3.375,1,95.93085973,0.702739726,5.251449399,2023-03-31,ACT/ACT
FR001400F794,1.816189775,2026-01-19,5,1,100.2592127,0.97260274,5.272325266,2023-03-31,ACT/ACT
XS1950499712,1.014226093,2026-02-13,1.875,1,93.83875137,0.23630137,4.286657989,2023-03-31,ACT/ACT
XS2403928877,1.643177167,2026-05-15,1.125,1,91.39230137,0.98630137,4.484210464,2023-03-31,ACT/ACT
FR0014005DW1,2.001154227,2026-07-16,1,1,88.44154932,0.706849315,5.141671535,2023-03-31,ACT/ACT
XS0954706023,1.50667783,2026-07-24,3.125,1,98.44135096,2.140410959,4.342338035,2023-03-31,ACT/ACT
XS2384290727,0.793034631,2026-09-07,1.125,1,87.50265932,0.631849315,5.409242033,2023-03-31,ACT/ACT
XS0834641358,1.757920924,2026-09-30,3.5,2,95.37464087,0.00951087,5.021328285,2023-03-31,ACT/ACT
FR0013450632,0.806604601,2026-10-07,1.5,1,89.04968808,0.719178082,5.210343703,2023-03-31,ACT/ACT
XS2295280411,0.93621254,2026-12-03,0.375,1,86.45706288,0.121232877,4.488576447,2023-03-31,ACT/ACT
XS2066578126,1.122603093,2026-12-15,1.375,2,88.31294209,0.400412088,5.046485188,2023-03-31,ACT/ACT
XS2464407514,1.01546373,2027-04-04,2.125,1,93.46673233,2.101712329,4.527327108,2023-03-31,ACT/ACT
FR0014001MX9,1.202433757,2027-12-07,0.875,1,83.42016767,0.273287671,4.995074701,2023-03-31,ACT/ACT
XS2281152822,1.492788573,2027-12-08,0.625,2,82.37153473,0.194024725,4.988389151,2023-03-31,ACT/ACT
XS2574218561,1.268366732,2028-01-12,5,2,101.0144881,1.077348066,5.075966204,2023-03-31,ACT/ACT
XS2565082901,1.28099606,2028-01-13,5.248,2,101.6612789,1.122488889,5.179724246,2023-03-31,ACT/360
XS2429208056,1.538552768,2028-10-12,1.625,2,85.23732857,0.758928571,4.91676461,2023-03-31,ACT/ACT
FR0014007UQ3,0.925003324,2028-10-26,1.875,1,85.83350986,0.801369863,5.018062075,2023-03-31,ACT/ACT
XS0092541969,0.878830377,2028-11-27,6.125,1,108.8132083,2.092708333,4.736727429,2023-03-31,ISMA 30/360
