ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS2295280411,1.070643011,2026-12-03,0.375,1,96.99024781,0.371917808,3.859016046,2025-11-30,ACT/ACT
XS2066578126,1.2592297,2026-12-15,1.375,2,97.87022754,0.631147541,4.153267869,2025-11-30,ACT/ACT
XS2052961740,1.978847946,2026-12-17,1.25,2,97.81288989,0.566939891,4.001463541,2025-11-30,ACT/ACT
FR0013482866,3.052172134,2027-02-11,1.125,1,97.59901,0.9,3.993751785,2025-11-30,ACT/ACT
XS2464407514,1.09327625,2027-04-04,2.125,1,99.03795027,1.397260274,3.956820143,2025-11-30,ACT/ACT
XS2742532158,1.693557123,2027-07-09,4.5,2,102.2923996,1.760869565,4.195563288,2025-11-30,ACT/ACT
XS2429214294,2.308457028,2027-07-15,1.5,2,96.57317,0.5625,4.102008302,2025-11-30,ACT/ACT
XS2281152822,1.71759188,2027-12-08,0.625,2,93.3338688,0.298838798,4.301932151,2025-11-30,ACT/ACT
XS2732133090,1.525798793,2027-12-12,5,2,103.6717556,2.336065574,4.352208783,2025-11-30,ACT/ACT
XS2574218561,1.328098695,2028-01-12,5,2,103.2159609,1.91576087,4.395290333,2025-11-30,ACT/ACT
XS2565082901,1.336168891,2028-01-13,5.248,2,103.7726017,1.996521739,4.406586304,2025-11-30,ACT/ACT
XS2429208056,1.719292187,2028-10-12,1.625,2,93.38892,0.21875,4.221905798,2025-11-30,ACT/ACT
XS0092541969,0.922720432,2028-11-27,6.125,1,105.2991517,0.051041667,4.22058286,2025-11-30,30E/360
XS2729188644,1.943082905,2028-11-30,5.375,2,102.95474,0,4.360936653,2025-11-30,ACT/ACT
XS2285179763,2.179373694,2028-12-14,0.75,2,90.82043148,0.346311475,4.15993425,2025-11-30,ACT/ACT
XS2787862346,1.540164589,2029-03-22,4.5,1,104.6262181,3.119178082,3.989057506,2025-11-30,ACT/ACT
XS1608101652,1.306608042,2029-05-03,1.8,1,94.52012795,1.040547945,3.868304193,2025-11-30,ACT/ACT
XS1269175466,2.709251658,2029-07-31,3.05,2,98.0246813,1.011141304,3.969814946,2025-11-30,ACT/ACT
XS0228265574,0.754242646,2029-08-30,4.55,1,102.5059193,1.146849315,4.145931557,2025-11-30,ACT/ACT
XS2055110758,1.67449475,2029-09-21,1.625,2,90.99722652,0.314226519,4.3504635,2025-11-30,ACT/ACT
XS2892966032,1.488968781,2029-10-05,4.625,2,101.2379585,0.711538462,4.522961788,2025-11-30,ACT/ACT
XS2899774579,1.114751726,2029-10-12,4.5,2,100.9818492,0.605769231,4.440007832,2025-11-30,ACT/ACT
XS2730682528,1.935162217,2029-12-07,4.95,2,105.0036279,2.380327869,4.277868212,2025-11-30,ACT/ACT
XS2837824254,1.52705303,2029-12-12,4.88,2,103.92135,2.28,4.47970208,2025-11-30,ACT/ACT
XS2570858303,2.303090176,2030-01-10,5,2,104.0485948,1.942934783,4.481970788,2025-11-30,ACT/ACT
XS0106655235,0.435463565,2030-01-31,6.25,1,111.9497533,5.208333333,4.437271045,2025-11-30,ISMA-30/360
XS0107203381,0.674796939,2030-02-25,6.125,2,104.9232394,1.616319444,5.310389966,2025-11-30,ISMA-30/360
