ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS1558450745,0.755306099,2025-05-02,2.125,1,98.72678765,1.93920765,5.23648441,2024-03-31,ACT/ACT
XS1608101066,1.12026318,2025-05-03,1.375,1,97.51824459,1.25102459,4.974533525,2024-03-31,ACT/ACT
XS2465774474,2.274989462,2025-06-10,2.625,1,99.14380869,2.115778689,5.248306891,2024-03-31,ACT/ACT
XS1640854144,0.888729622,2025-07-07,1.375,1,96.7230106,1.006830601,4.938226913,2024-03-31,ACT/ACT
XS2492172122,1.083610494,2025-09-02,4.125,2,99.13552794,0.325067935,5.062518895,2024-03-31,ACT/ACT
DE000A1G85C2,1.057488027,2025-09-10,2.75,1,98.65171322,1.525273224,4.844523166,2024-03-31,ACT/ACT
FR001400E5E0,1.401929397,2025-09-25,4.875,1,101.9455584,2.504098361,5.253070692,2024-03-31,ACT/ACT
XS0564485273,2.339287207,2025-12-01,5.125,1,101.8625106,1.694330601,4.999861679,2024-03-31,ACT/ACT
FR0013480027,1.725255796,2025-12-05,1.25,1,94.06984016,0.399590164,5.280670761,2024-03-31,ACT/ACT
XS2297626645,1.141241398,2025-12-09,0.875,1,92.99770027,0.270150273,5.491579666,2024-03-31,ACT/ACT
XS2354271095,1.719218801,2025-12-18,0.625,1,93.50401563,0.177595628,4.765643009,2024-03-31,ACT/ACT
XS2489652581,1.048268442,2026-01-14,3.375,1,97.95095098,0.710040984,5.01713501,2024-03-31,ACT/ACT
FR001400F794,1.540322759,2026-01-19,5,1,100.8043366,0.983606557,5.094949578,2024-03-31,ACT/ACT
XS1950499712,0.874854551,2026-02-13,1.875,1,95.30534869,0.240778689,4.687984737,2024-03-31,ACT/ACT
XS2403928877,1.430175292,2026-05-15,1.125,1,93.75537033,0.986680328,4.786626753,2024-03-31,ACT/ACT
XS2629368999,1.130268405,2026-06-01,5.5,1,105.726296,4.568306011,4.914973359,2024-03-31,ACT/ACT
FR0014005DW1,1.760234888,2026-07-16,1,1,92.30142027,0.707650273,4.967718581,2024-03-31,ACT/ACT
XS0954706023,1.286032614,2026-07-24,3.125,1,98.97022109,2.143101093,4.594396454,2024-03-31,ACT/ACT
XS2384290727,0.700991619,2026-09-07,1.125,1,91.58932672,0.633196721,5.166141592,2024-03-31,ACT/ACT
XS2689044258,1.270631997,2026-09-21,5.25,1,103.9241184,2.754098361,4.71170581,2024-03-31,ACT/ACT
XS0834641358,1.508085015,2026-09-30,3.5,2,97.10965087,0.00951087,4.801309942,2024-03-31,ACT/ACT
FR0013450632,0.707024893,2026-10-07,1.5,1,92.77287148,0.721311475,4.928292239,2024-03-31,ACT/ACT
XS2295280411,0.825951194,2026-12-03,0.375,1,90.13428623,0.12192623,4.41470475,2024-03-31,ACT/ACT
XS2066578126,0.980184241,2026-12-15,1.375,2,91.89539087,0.401980874,4.816534232,2024-03-31,ACT/ACT
FR0013482866,2.371154037,2027-02-11,1.125,1,91.42929475,0.150614754,4.430983235,2024-03-31,ACT/ACT
XS2464407514,0.874888576,2027-04-04,2.125,1,95.55023596,2.101775956,4.499998997,2024-03-31,ACT/ACT
XS2742532158,1.375592025,2027-07-09,4.5,2,100.5882063,1.013736264,4.693250393,2024-03-31,ACT/ACT
FR0014001MX9,1.065202406,2027-12-07,0.875,1,87.75222169,0.274931694,4.648853202,2024-03-31,ACT/ACT
XS2281152822,1.317738575,2027-12-08,0.625,2,86.57264213,0.194672131,4.744432892,2024-03-31,ACT/ACT
XS2732133090,1.247397949,2027-12-12,5,2,102.7287822,1.50273224,4.687186894,2024-03-31,ACT/ACT
XS2574218561,1.081428467,2028-01-12,5,2,101.9756648,1.085164835,4.794131501,2024-03-31,ACT/ACT
XS2565082901,1.092960213,2028-01-13,5.248,2,102.9123714,1.124571429,4.780335407,2024-03-31,ACT/ACT
FR001400I293,1.614905276,2028-05-25,5.375,1,106.4600614,4.567281421,4.856041532,2024-03-31,ACT/ACT
FR001400I7U8,2.382790559,2028-08-18,6,2,104.9186377,0.692307692,4.975499252,2024-03-31,ACT/ACT
XS2429208056,1.343862042,2028-10-12,1.625,2,88.92469131,0.759221311,4.594832842,2024-03-31,ACT/ACT
FR0014007UQ3,0.807591948,2028-10-26,1.875,1,89.02512328,0.804303279,4.803667961,2024-03-31,ACT/ACT
XS0092541969,0.744241209,2028-11-27,6.125,1,108.9500483,2.092708333,4.455205185,2024-03-31,30E/360
XS2729188644,1.579107654,2028-11-30,5.375,2,104.710311,1.801510989,4.726713049,2024-03-31,ACT/ACT
XS1608101652,1.041738494,2029-05-03,1.8,1,91.46414492,1.637704918,4.051252102,2024-03-31,ACT/ACT
XS1269175466,2.168283488,2029-07-31,3.05,2,95.07183725,0.502747253,4.240009466,2024-03-31,ACT/ACT
XS0228265574,0.630051934,2029-08-30,4.55,1,103.7590725,2.660382514,4.313244179,2024-03-31,ACT/ACT
XS2055110758,1.306970669,2029-09-21,1.625,2,85.91265761,0.044157609,4.625125963,2024-03-31,ACT/ACT
FR001400FAR2,2.644477048,2029-10-23,4.875,1,102.9132775,2.131147541,4.706185062,2024-03-31,ACT/ACT
XS2570858303,1.864389023,2030-01-10,5,2,103.1769774,1.112637363,4.640415951,2024-03-31,ACT/ACT
XS0106655235,0.350417764,2030-01-31,6.25,1,109.5258667,1.041666667,4.557154717,2024-03-31,ISMA-30/360
XS0107203381,0.554385396,2030-02-25,6.125,2,104.5224761,0.595486111,5.410629306,2024-03-31,ISMA-30/360
XS2228291279,1.223945168,2030-12-10,1,1,81.04019093,0.306010929,4.382195015,2024-03-31,ACT/ACT
XS0121617517,1.671443637,2030-12-19,5.75,2,110.4186244,1.613194444,4.274263996,2024-03-31,ISMA-30/360
XS0416848793,2.943190476,2031-03-11,6.875,1,114.1495223,0.376712329,4.519023851,2024-03-31,ACT/ACT
