ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS2575155671,2.133848896,2026-03-10,7.75,1,102.9226404,0.445890411,4.97660479,2025-03-31,ACT/ACT
XS2403928877,1.878116619,2026-05-15,1.125,1,97.48355137,0.98630137,4.386191044,2025-03-31,ACT/ACT
XS2629368999,1.423587921,2026-06-01,5.5,1,105.3206834,4.565753425,4.804551738,2025-03-31,ACT/ACT
XS2004382136,1.880042359,2026-07-22,1.66,1,97.35641219,1.146082192,4.704793809,2025-03-31,ACT/ACT
XS0954706023,1.644606548,2026-07-24,3.125,1,100.327921,2.140410959,4.564151141,2025-03-31,ACT/ACT
XS2384290727,0.918311927,2026-09-07,1.125,1,95.23227932,0.631849315,5.108542491,2025-03-31,ACT/ACT
XS2689044258,1.599814809,2026-09-21,5.25,1,103.5898603,2.747260274,4.596518005,2025-03-31,ACT/ACT
XS0834641358,1.92810464,2026-09-30,3.5,2,98.05299087,0.00951087,4.930011865,2025-03-31,ACT/ACT
XS2295280411,1.085068982,2026-12-03,0.375,1,93.71302288,0.121232877,4.423120093,2025-03-31,ACT/ACT
XS2066578126,1.281223033,2026-12-15,1.375,2,94.76726209,0.400412088,4.907331236,2025-03-31,ACT/ACT
FR0013482866,3.092931688,2027-02-11,1.125,1,94.27384521,0.147945205,4.469995897,2025-03-31,ACT/ACT
XS2464407514,1.129114706,2027-04-04,2.125,1,97.46721233,2.101712329,4.58979466,2025-03-31,ACT/ACT
XS2742532158,1.744539334,2027-07-09,4.5,2,100.3214361,1.006906077,4.876505781,2025-03-31,ACT/ACT
XS2281152822,1.736088134,2027-12-08,0.625,2,89.73851473,0.194024725,4.873818326,2025-03-31,ACT/ACT
XS2732133090,1.578136808,2027-12-12,5,2,102.0812027,1.497252747,4.820916616,2025-03-31,ACT/ACT
XS2574218561,1.373387855,2028-01-12,5,2,101.3507381,1.077348066,4.950713992,2025-03-31,ACT/ACT
XS2565082901,1.386055009,2028-01-13,5.248,2,102.2354973,1.116287293,4.869046321,2025-03-31,ACT/ACT
XS2429208056,1.754829651,2028-10-12,1.625,2,90.46345857,0.758928571,4.887880723,2025-03-31,ACT/ACT
XS0092541969,0.92812977,2028-11-27,6.125,1,106.5383683,2.092708333,4.762481127,2025-03-31,30E/360
XS2729188644,1.996607325,2028-11-30,5.375,2,103.081706,1.796616022,5.046995355,2025-03-31,ACT/ACT
XS2787862346,1.617733889,2029-03-22,4.5,1,99.9418089,0.110958904,4.546798186,2025-03-31,ACT/ACT
XS1608101652,1.342746038,2029-05-03,1.8,1,92.31268027,1.637260274,4.335825569,2025-03-31,ACT/ACT
XS1269175466,2.763063116,2029-07-31,3.05,2,95.03780945,0.497099448,4.49645138,2025-03-31,ACT/ACT
XS0228265574,0.788090029,2029-08-30,4.55,1,101.7969355,2.655205479,4.763464309,2025-03-31,ACT/ACT
XS2055110758,1.706075651,2029-09-21,1.625,2,87.03414761,0.044157609,4.959223385,2025-03-31,ACT/ACT
XS2892966032,1.574738503,2029-10-05,4.625,2,101.5301881,2.628068141,4.958813414,2025-03-31,ACT/ACT
XS2899774579,1.170215302,2029-10-12,4.5,2,100.4462784,2.101648352,4.971674319,2025-03-31,ACT/ACT
XS2570858303,2.365777831,2030-01-10,5,2,101.4082624,1.104972376,4.986887987,2025-03-31,ACT/ACT
XS0106655235,0.43660582,2030-01-31,6.25,1,106.5383467,1.041666667,4.938946784,2025-03-31,ISMA-30/360
XS0107203381,0.692193207,2030-02-25,6.125,2,102.1800361,0.595486111,5.830529046,2025-03-31,ISMA-30/360
XS2228291279,1.60762893,2030-12-10,1,1,82.43842959,0.304109589,4.640163587,2025-03-31,ACT/ACT
XS0121617517,2.07919406,2030-12-19,5.75,2,106.6883144,1.613194444,4.781128197,2025-03-31,ISMA-30/360
XS0416848793,3.643517152,2031-03-11,6.875,1,110.0481823,0.376712329,4.955453782,2025-03-31,ACT/ACT
XS2800802501,0.991217765,2031-04-15,5.082,2,101.6038369,2.331576923,5.291749245,2025-03-31,ACT/ACT
XS2049782639,1.294063934,2031-09-03,1.405,1,83.04996685,0.804506849,4.664038632,2025-03-31,ACT/ACT
XS2464407860,2.05374863,2032-04-04,2.5,1,87.60395274,2.47260274,5.07290376,2025-03-31,ACT/ACT
XS2496686309,0.873800358,2032-07-14,3.25,2,89.68546044,0.682320442,5.136877922,2025-03-31,ACT/ACT
XS2689046626,1.606515569,2032-09-21,5.125,1,102.6183493,2.681849315,5.130179957,2025-03-31,ACT/ACT
XS2354308194,1.206257666,2033-06-23,1.375,1,76.69070164,1.058561644,5.068637153,2025-03-31,ACT/ACT
XS0419834931,4.175216397,2034-03-27,5.625,2,103.361275,0.046875,5.226119168,2025-03-31,ISMA-30/360
XS0202077953,3.314913914,2035-09-28,5.25,2,100.0289467,0.029166667,5.318886715,2025-03-31,ISMA-30/360
XS2787862429,1.560836073,2036-03-22,4.75,1,94.36406329,0.117123288,5.460246586,2025-03-31,ACT/ACT
XS0161353999,0.442431802,2036-07-13,5.396,2,102.175978,1.147767956,5.270135278,2025-03-31,ACT/ACT
XS0702029132,2.880626469,2036-11-04,5,1,97.14664863,2.01369863,5.577248129,2025-03-31,ACT/ACT
XS0298709188,1.136960428,2037-05-05,5.5,1,105.3100727,4.97260274,5.459683328,2025-03-31,ACT/ACT
XS2724943639,1.536470778,2038-12-07,5.125,1,96.78435493,1.600684932,5.636032404,2025-03-31,ACT/ACT
XS0279211832,1.403835473,2039-01-19,4.875,2,95.41651833,0.961458333,5.525302792,2025-03-31,ISMA 30/360
XS2014278944,2.761590721,2039-06-19,2.375,1,69.15552206,1.854452055,5.816751859,2025-03-31,ACT/ACT
XS0969574598,1.236453743,2041-04-10,4.25,1,88.70387164,4.133561644,5.748659993,2025-03-31,ACT/ACT
XS0629875708,1.574005098,2041-05-23,5.25,1,99.19572123,4.487671233,5.760429739,2025-03-31,ACT/ACT
XS1269176191,1.581190131,2042-07-31,3.6,2,78.76978033,0.586740331,5.657165118,2025-03-31,ACT/ACT
DE000A1G85D0,2.096274492,2042-09-10,3.75,1,80.41578247,2.075342466,5.74627017,2025-03-31,ACT/ACT
DE000A1HG1L4,2.703782842,2043-03-13,4.5,1,85.90308781,0.221917808,5.80463122,2025-03-31,ACT/ACT
XS2496686564,0.861008238,2052-07-14,3.625,2,71.05043972,0.761049724,5.892064359,2025-03-31,ACT/ACT
XS2228387465,0.906861398,2052-09-10,1.75,1,44.48889315,0.968493151,5.992747235,2025-03-31,ACT/ACT
XS0841542961,1.06246149,2052-10-17,3.75,2,75.73242264,1.699862637,5.691598949,2025-03-31,ACT/ACT
XS1577724492,0.590554583,2057-04-11,2.25,2,48.3204755,1.057005495,6.045736681,2025-03-31,ACT/ACT
XS2014291707,1.653811348,2059-06-19,2.625,1,54.15273753,2.049657534,5.920231726,2025-03-31,ACT/ACT
XS0530302628,1.153429872,2060-08-03,5.375,1,95.60609658,3.534246575,5.912217939,2025-03-31,ACT/ACT
XS2343114331,0.495150365,2061-06-04,1.625,2,39.53917143,0.522321429,5.629427719,2025-03-31,ACT/ACT
XS1846644968,0.608039863,2078-06-27,2.35,2,49.89090813,0.606868132,5.213359845,2025-03-31,ACT/ACT
XS1713474838,1.95836502,2117-12-08,2.544,1,47.91644452,0.787594521,5.441575246,2025-03-31,ACT/ACT
