ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS2092422810,1.863842814,2023-06-12,1.375,1,100.20249,1.1,2.138542056,2022-03-31,ACT/ACT
XS0860561942,1.506841433,2023-11-30,2.25,1,101.2749704,0.745890411,1.921836785,2022-03-31,ACT/ACT
XS1982694504,1.110172371,2023-12-15,1.625,1,99.30320781,0.471917808,2.327918176,2022-03-31,ACT/ACT
XS1989819583,1.111173318,2023-12-15,1.625,1,99.60926781,0.471917808,2.142142795,2022-03-31,ACT/ACT
FR0013397064,1.492668541,2023-12-18,2.25,1,100.2656115,0.634931507,2.468890698,2022-03-31,ACT/ACT
XS2326546277,1.810723087,2023-12-18,0.625,1,97.28491986,0.176369863,2.361500508,2022-03-31,ACT/ACT
BE6316405560,1.274124813,2024-09-30,1.25,1,97.47902767,0.623287671,2.562103169,2022-03-31,ACT/ACT
XS2416968399,1.819423428,2024-12-02,1.375,1,97.26135767,0.448287671,2.623147485,2022-03-31,ACT/ACT
FR0013425451,1.83745599,2024-12-19,1.75,1,98.3258211,0.489041096,2.581883681,2022-03-31,ACT/ACT
XS1558450745,0.938886007,2025-05-02,2.125,1,100.4561986,1.93869863,2.630425228,2022-03-31,ACT/ACT
XS1608101066,1.388657568,2025-05-03,1.375,1,99.11156493,1.250684932,2.096678852,2022-03-31,ACT/ACT
XS1640854144,1.109811055,2025-07-07,1.375,1,98.96567192,1.005821918,2.025508625,2022-03-31,ACT/ACT
FR0013480027,2.148335306,2025-12-05,1.25,1,95.55287027,0.397260274,2.647089296,2022-03-31,ACT/ACT
XS2297626645,1.404849916,2025-12-09,0.875,1,93.39998315,0.268493151,2.860453921,2022-03-31,ACT/ACT
XS2354271095,2.13533293,2025-12-18,0.625,1,95.19091986,0.176369863,2.030417602,2022-03-31,ACT/ACT
XS1950499712,1.120240855,2026-02-13,1.875,1,99.46427137,0.23630137,2.083930673,2022-03-31,ACT/ACT
XS2403928877,1.826191269,2026-05-15,1.125,1,97.39215658,0.459246575,1.905530781,2022-03-31,ACT/ACT
FR0014005DW1,1.946477869,2026-07-16,1,1,94.05897575,0.542465753,2.615868434,2022-03-31,ACT/ACT
XS0954706023,1.700189592,2026-07-24,3.125,1,106.412651,2.140410959,2.077931516,2022-03-31,ACT/ACT
XS2384290727,0.881933553,2026-09-07,1.125,1,93.48520932,0.631849315,2.861565818,2022-03-31,ACT/ACT
XS0834641358,1.986412475,2026-09-30,3.5,2,103.6361509,0.00951087,2.656883269,2022-03-31,ACT/ACT
FR0013450632,0.904261017,2026-10-07,1.5,1,95.94216808,0.719178082,2.633566049,2022-03-31,ACT/ACT
XS2295280411,1.044386494,2026-12-03,0.375,1,92.33597288,0.121232877,2.1420132,2022-03-31,ACT/ACT
