ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS0228265574,0.643705989,30/08/2029,4.55,1,101.9121981,3.029178082,4.913243884,30/04/2026,ACT/ACT
XS0629875708,1.235955579,23/05/2041,5.25,1,97.37361808,4.919178082,6.025219015,30/04/2026,ACT/ACT
XS0530302628,0.885344721,03/08/2060,5.375,1,92.4904274,3.976027397,6.187654919,30/04/2026,ACT/ACT
XS3300297572,1.387664535,19/08/2031,4.6965,1,98.04008863,0.90069863,5.332322042,30/04/2026,ACT/ACT
XS2899774579,0.953521633,12/10/2029,4.5,2,98.44325148,0.221311475,5.131502415,30/04/2026,ACT/ACT
XS2732133090,1.282385479,12/12/2027,5,2,101.7283007,1.909340659,5.179668423,30/04/2026,ACT/ACT
XS2892966032,1.273564133,05/10/2029,4.625,2,98.7319253,0.315915301,5.199074228,30/04/2026,ACT/ACT
XS3190849912,1.549640392,29/09/2032,5,2,98.19817261,0.434782609,5.489944387,30/04/2026,ACT/ACT
XS2055110758,1.413644271,21/09/2029,1.625,2,89.64833044,0.176630435,5.104237447,30/04/2026,ACT/ACT
XS2281152822,1.475344186,08/12/2027,0.625,2,93.52686571,0.245535714,5.091805014,30/04/2026,ACT/ACT
XS2429208056,1.470572496,12/10/2028,1.625,2,92.34769803,0.079918033,5.079772325,30/04/2026,ACT/ACT
XS2570858303,1.919296181,10/01/2030,5,2,101.319617,1.519337017,5.121636865,30/04/2026,ACT/ACT
XS2742532158,1.430591637,09/07/2027,4.5,2,100.8352443,1.379834254,5.031683096,30/04/2026,ACT/ACT
XS3162369527,1.251529296,27/08/2031,4.75,2,99.01188591,0.813535912,5.205369354,30/04/2026,ACT/ACT
XS3260285179,1.250162003,12/11/2030,4.5,2,98.97812144,1.342541436,5.15531935,30/04/2026,ACT/ACT
XS2285179763,1.853889247,14/12/2028,0.75,2,90.42503022,0.28228022,4.850139399,30/04/2026,ACT/ACT
XS2429214294,1.979743782,15/07/2027,1.5,2,96.66040287,0.435082873,4.801427735,30/04/2026,ACT/ACT
XS2730682528,1.611053496,07/12/2029,4.95,2,102.2202918,1.958241758,4.927597558,30/04/2026,ACT/ACT
XS2811733240,1.279881834,30/04/2031,4.875,2,99.19376,0,5.123520365,30/04/2026,ACT/ACT
