ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS0228265574,0.63007384,2029-08-30,4.55,1,101.5926755,2.655205479,4.886628735,2026-03-31,ACT/ACT
XS0629875708,1.246117524,2041-05-23,5.25,1,97.53213123,4.487671233,5.95796074,2026-03-31,ACT/ACT
XS0530302628,0.903273543,2060-08-03,5.375,1,93.15281658,3.534246575,6.101207452,2026-03-31,ACT/ACT
XS3300297572,1.374995984,2031-08-19,4.6965,1,97.33674493,0.514684932,5.396063087,2026-03-31,ACT/ACT
XS2899774579,0.931122024,2029-10-12,4.5,2,100.3261484,2.101648352,5.118393778,2026-03-31,ACT/ACT
XS2732133090,1.24029238,2027-12-12,5,2,101.1960227,1.497252747,5.249706896,2026-03-31,ACT/ACT
XS2892966032,1.243340995,2029-10-05,4.625,2,100.4999098,2.24896978,5.242522994,2026-03-31,ACT/ACT
XS3190849912,1.565704932,2032-09-29,5,2,97.82858391,0.027173913,5.478925763,2026-03-31,ACT/ACT
XS2055110758,1.396983971,2029-09-21,1.625,2,89.24316761,0.044157609,5.118882027,2026-03-31,ACT/ACT
XS2281152822,1.426192624,2027-12-08,0.625,2,93.13827473,0.194024725,5.096204512,2026-03-31,ACT/ACT
XS2429208056,1.429277376,2028-10-12,1.625,2,92.83703857,0.758928571,5.055342348,2026-03-31,ACT/ACT
XS2570858303,1.870100939,2030-01-10,5,2,100.9707524,1.104972376,5.10062962,2026-03-31,ACT/ACT
XS2742532158,1.379564423,2027-07-09,4.5,2,100.3478361,1.006906077,5.097344138,2026-03-31,ACT/ACT
XS3162369527,1.227515085,2031-08-27,4.75,2,98.7610895,0.419889503,5.168865363,2026-03-31,ACT/ACT
XS3260285179,1.222629047,2030-11-12,4.5,2,98.65319326,0.96961326,5.133202081,2026-03-31,ACT/ACT
XS2285179763,1.803319095,2028-12-14,0.75,2,90.02751703,0.220467033,4.869821334,2026-03-31,ACT/ACT
XS2429214294,1.909172338,2027-07-15,1.5,2,96.13919348,0.310773481,4.925840132,2026-03-31,ACT/ACT
XS2730682528,1.572494863,2029-12-07,4.95,2,101.7055847,1.550274725,4.961394369,2026-03-31,ACT/ACT
XS2811733240,1.255196768,2031-04-30,4.875,2,100.9984543,2.035714286,5.173587059,2026-03-31,ACT/ACT
XS3261281631,1.833875232,2032-12-15,4.75,2,98.00305714,1.017857143,5.35896072,2026-03-31,ACT/ACT
XS2837824254,1.250784202,2029-12-12,4.88,2,100.7583387,1.461318681,5.153337634,2026-03-31,ACT/ACT
XS3168797135,1.245305049,2030-10-28,4.7,2,100.0353515,1.988461538,5.251040887,2026-03-31,ACT/ACT
XS2574218561,1.081672551,2028-01-12,5,2,100.8148781,1.077348066,5.217541186,2026-03-31,ACT/ACT
XS2729188644,1.576966649,2028-11-30,5.375,2,102.327276,1.796616022,5.222772451,2026-03-31,ACT/ACT
XS3268963496,1.21950003,2032-06-13,4.75,2,97.59269769,1.004807692,5.477096694,2026-03-31,ACT/ACT
XS2565082901,1.08359675,2028-01-13,5.248,2,101.1426373,1.116287293,5.295775415,2026-03-31,ACT/ACT
XS2800802501,0.787015559,2031-04-15,5.082,2,101.1714369,2.331576923,5.418477537,2026-03-31,ACT/ACT
XS3173764054,1.249045524,2030-11-01,4.8026,2,100.7883326,2.590352624,5.316958794,2026-03-31,ACT/ACT
DE000A1HG1L4,2.146714808,2043-03-13,4.5,1,84.69638781,0.221917808,5.981840632,2026-03-31,ACT/ACT
XS2014278944,2.218254014,2039-06-19,2.375,1,69.04011206,1.854452055,6.050208777,2026-03-31,ACT/ACT
