ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS2742532158,1.37417344,09/07/2027,4.5,2,102.1013015,2.138121547,4.58740397,30/06/2026,ACT/ACT
XS2429214294,1.902267839,15/07/2027,1.5,2,97.7922853,0.687845304,4.421655381,30/06/2026,ACT/ACT
XS2671666688,1.092362154,23/08/2027,6.5,2,104.3253067,2.28038674,4.698901461,30/06/2026,ACT/ACT
XS2281152822,1.417755091,08/12/2027,0.625,2,94.57846831,0.037568306,4.638473134,30/06/2026,ACT/ACT
XS2732133090,1.234803517,12/12/2027,5,2,100.8682016,0.245901639,4.601865867,30/06/2026,ACT/ACT
XS2574218561,1.075152153,12/01/2028,5,2,102.8188941,2.334254144,4.722015269,30/06/2026,ACT/ACT
XS2565082901,1.079778769,13/01/2028,5.248,2,103.2540659,2.435535912,4.742993257,30/06/2026,ACT/ACT
XS2429208056,1.402565437,12/10/2028,1.625,2,93.83679137,0.350751366,4.717773771,30/06/2026,ACT/ACT
XS0092541969,0.721201115,27/11/2028,6.125,1,107.1390883,3.623958333,4.536697074,30/06/2026,30E/360
XS2729188644,1.521886505,30/11/2028,5.375,2,101.8412353,0.452785326,4.814425172,30/06/2026,ACT/ACT
XS2285179763,1.787689651,14/12/2028,0.75,2,91.62014689,0.032786885,4.449173785,30/06/2026,ACT/ACT
XS3285554096,2.26166544,13/02/2029,4.125,1,100.6478977,1.548287671,4.487544852,30/06/2026,ACT/ACT
XS2787862346,1.214621299,22/03/2029,4.5,1,101.4634667,1.232876712,4.400564763,30/06/2026,ACT/ACT
XS1608101652,1.051748577,03/05/2029,1.8,1,93.7325874,0.286027397,4.29758048,30/06/2026,ACT/ACT
XS1269175466,2.193582036,31/07/2029,3.05,2,97.84044216,1.263812155,4.289655353,30/06/2026,ACT/ACT
XS0228265574,0.619369295,30/08/2029,4.55,1,103.609849,3.789589041,4.607320781,30/06/2026,ACT/ACT
XS2055110758,1.364012283,21/09/2029,1.625,2,91.28162185,0.445991848,4.77622696,30/06/2026,ACT/ACT
XS2892966032,1.203638716,05/10/2029,4.625,2,100.7638586,1.086748634,4.786588275,30/06/2026,ACT/ACT
XS2899774579,0.89773769,12/10/2029,4.5,2,100.1704115,0.971311475,4.820914657,30/06/2026,ACT/ACT
XS2730682528,1.555286218,07/12/2029,4.95,2,101.5613856,0.311065574,4.603751383,30/06/2026,ACT/ACT
XS2837824254,1.23193735,12/12/2029,4.88,2,100.61278,0.24,4.817435569,30/06/2026,ACT/ACT
XS2570858303,1.848852395,10/01/2030,5,2,102.9764385,2.361878453,4.865822283,30/06/2026,ACT/ACT
XS0106655235,0.341054608,31/01/2030,6.25,1,107.9725067,2.604166667,4.581051356,30/06/2026,ISMA-30/360
XS0107203381,0.543501279,25/02/2030,6.125,2,104.0309861,2.126736111,5.615990559,30/06/2026,ISMA-30/360
