ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
Bond01,0.761686352,30/08/2029,4.55,1,105.0100074,4.176027397,4.320795349,31/07/2025,ACT/ACT
Bond02,1.422577362,23/05/2041,5.25,1,97.03432575,0.992465753,5.632567504,31/07/2025,ACT/ACT
Bond03,1.085702327,03/08/2060,5.375,1,98.66156192,5.330821918,5.825509289,31/07/2025,ACT/ACT
Bond04,0.879330832,07/09/2026,1.125,1,97.02109671,1.007876712,4.92051673,31/07/2025,ACT/ACT
Bond05,1.104560829,12/10/2029,4.5,2,101.339329,1.352459016,4.552547277,31/07/2025,ACT/ACT
Bond06,1.219527917,15/12/2026,1.375,2,96.23109421,0.172814208,4.407528177,31/07/2025,ACT/ACT
Bond07,1.480763387,12/12/2027,5,2,102.0895389,0.669398907,4.406943817,31/07/2025,ACT/ACT
Bond08,1.476186571,05/10/2029,4.625,2,101.7063636,1.478483607,4.614957799,31/07/2025,ACT/ACT
Bond09,1.814333694,30/09/2026,3.5,2,100.144367,1.169836957,4.456930041,31/07/2025,ACT/ACT
Bond10,1.628327919,21/09/2029,1.625,2,89.83007044,0.582880435,4.55003072,31/07/2025,ACT/ACT
Bond11,1.668081715,08/12/2027,0.625,2,91.90138546,0.090505464,4.365592534,31/07/2025,ACT/ACT
Bond12,1.673311062,12/10/2028,1.625,2,92.19560798,0.488387978,4.482062411,31/07/2025,ACT/ACT
Bond13,2.272871576,10/01/2030,5,2,101.8500761,0.285326087,4.658834957,31/07/2025,ACT/ACT
Bond14,1.675819546,09/07/2027,4.5,2,100.5044017,0.269021739,4.418519025,31/07/2025,ACT/ACT
Bond15,1.915953611,17/12/2026,1.25,2,96.20689322,0.150273224,4.265705728,31/07/2025,ACT/ACT
Bond16,2.102540202,14/12/2028,0.75,2,89.27235148,0.096311475,4.272820148,31/07/2025,ACT/ACT
Bond17,2.255329737,15/07/2027,1.5,2,94.99714739,0.065217391,4.270471586,31/07/2025,ACT/ACT
Bond18,1.865864529,07/12/2029,4.95,2,103.0433779,0.730327869,4.406898924,31/07/2025,ACT/ACT
Bond19,1.490348546,30/04/2031,4.875,2,102.6465098,1.225409836,4.642218796,31/07/2025,ACT/ACT
Bond20,1.486239092,12/12/2029,4.88,2,102.3543633,0.653333333,4.495142596,31/07/2025,ACT/ACT
Bond21,1.319150164,12/01/2028,5,2,101.5120822,0.258152174,4.502210897,31/07/2025,ACT/ACT
Bond22,1.874816775,30/11/2028,5.375,2,103.6506107,0.905570652,4.52683458,31/07/2025,ACT/ACT
Bond23,1.328824839,13/01/2028,5.248,2,102.1280857,0.256695652,4.481878462,31/07/2025,ACT/ACT
Bond24,0.936382656,15/04/2031,5.082,2,103.4166313,1.485721311,4.74603099,31/07/2025,ACT/ACT
Bond25,2.447489361,13/03/2043,4.5,1,89.3030274,1.726027397,5.627064361,31/07/2025,ACT/ACT
Bond26,2.524438363,19/06/2039,2.375,1,69.00754767,0.273287671,5.692345662,31/07/2025,ACT/ACT
Bond27,1.450096647,19/06/2059,2.625,1,52.3252548,0.302054795,5.946681835,31/07/2025,ACT/ACT
Bond28,1.031599663,05/05/2037,5.5,1,102.8737089,1.310958904,5.314913277,31/07/2025,ACT/ACT
Bond29,0.847136303,14/07/2032,3.25,2,91.72157587,0.15013587,4.738764647,31/07/2025,ACT/ACT
Bond30,0.801641149,14/07/2052,3.625,2,70.94247924,0.167459239,5.860161167,31/07/2025,ACT/ACT
Bond31,0.669138187,25/02/2030,6.125,2,105.4156828,2.637152778,5.502674048,31/07/2025,ISMA-30/360
Bond32,0.424684837,13/07/2036,5.396,2,101.9372048,0.263934783,5.143265721,31/07/2025,ACT/ACT
Bond33,1.489462356,22/03/2029,4.5,1,102.5768685,1.615068493,4.199059928,31/07/2025,ACT/ACT
Bond34,1.429125992,22/03/2036,4.75,1,97.76145452,1.704794521,5.239335291,31/07/2025,ACT/ACT
Bond35,1.47539401,07/12/2038,5.125,1,100.8838886,3.31369863,5.381470536,31/07/2025,ACT/ACT
Bond36,1.14124576,23/06/2033,1.375,1,78.51371069,0.143150685,4.71929878,31/07/2025,ACT/ACT
Bond37,1.060284792,04/04/2027,2.125,1,97.3943063,0.686986301,4.193495385,31/07/2025,ACT/ACT
Bond38,1.938153236,04/04/2032,2.5,1,88.88760918,0.808219178,4.612801153,31/07/2025,ACT/ACT
Bond39,1.52927782,21/09/2026,5.25,1,105.3116748,4.502054795,4.445750805,31/07/2025,ACT/ACT
Bond40,1.557158362,21/09/2032,5.125,1,107.091453,4.394863014,4.65911932,31/07/2025,ACT/ACT
Bond41,0.421213838,31/01/2030,6.25,1,109.64691,3.125,4.603564194,31/07/2025,ISMA-30/360
Bond42,1.267776638,03/05/2029,1.8,1,93.13977411,0.43890411,3.926020415,31/07/2025,ACT/ACT
Bond43,2.968974937,11/02/2027,1.125,1,96.2465026,0.523972603,4.052867944,31/07/2025,ACT/ACT
Bond44,1.779516488,08/12/2117,2.544,1,47.76956781,1.637917808,5.556988599,31/07/2025,ACT/ACT
Bond45,0.40866428,04/06/2061,1.625,2,37.87880377,0.25307377,5.837566006,31/07/2025,ACT/ACT
Bond46,0.966891799,17/10/2052,3.75,2,75.00143967,1.075819672,5.713418397,31/07/2025,ACT/ACT
Bond47,0.532037521,27/06/2078,2.35,2,47.34307601,0.218306011,5.446673555,31/07/2025,ACT/ACT
Bond48,0.528633569,11/04/2057,2.25,2,48.32339705,0.682377049,6.021978672,31/07/2025,ACT/ACT
Bond49,1.950598791,19/12/2030,5.75,2,107.2868411,0.654861111,4.401624686,31/07/2025,ISMA-30/360
Bond50,3.095531953,28/09/2035,5.25,2,104.0298667,1.779166667,5.025996069,31/07/2025,ISMA-30/360
Bond51,3.903594262,27/03/2034,5.625,2,107.321185,1.921875,4.911650931,31/07/2025,ISMA-30/360
Bond52,1.335151448,19/01/2039,4.875,2,96.51598833,0.148958333,5.323555554,31/07/2025,ISMA 30/360
Bond53,1.575936522,24/07/2026,3.125,1,99.02663151,0.059931507,4.219576215,31/07/2025,ACT/ACT
Bond54,1.04059988,03/12/2026,0.375,1,95.67682534,0.246575342,3.934952139,31/07/2025,ACT/ACT
Bond55,2.768283026,04/11/2036,5,1,101.0795115,3.684931507,5.310245603,31/07/2025,ACT/ACT
Bond56,0.894742421,27/11/2028,6.125,1,109.579485,4.134375,4.322406206,31/07/2025,30E/360
Bond57,1.109235072,10/04/2041,4.25,1,86.82498959,1.304109589,5.664568826,31/07/2025,ACT/ACT
Bond58,3.303817751,11/03/2031,6.875,1,113.6795375,2.674657534,4.597756037,31/07/2025,ACT/ACT
Bond59,1.550339686,10/12/2030,1,1,85.40448616,0.638356164,4.234470823,31/07/2025,ACT/ACT
Bond60,0.839092581,10/09/2052,1.75,1,45.68668466,1.553424658,5.950375485,31/07/2025,ACT/ACT
Bond61,1.798316798,22/07/2026,1.66,1,97.46612151,0.040931507,4.411690385,31/07/2025,ACT/ACT
Bond62,1.247655483,03/09/2031,1.405,1,85.79763329,1.274123288,4.350557015,31/07/2025,ACT/ACT
Bond63,1.987325876,10/09/2042,3.75,1,83.27533712,3.328767123,5.601102555,31/07/2025,ACT/ACT
Bond64,2.666942277,31/07/2029,3.05,2,96.34047,0,4.09121503,31/07/2025,ACT/ACT
Bond65,1.504269027,31/07/2042,3.6,2,80.34651,0,5.450840597,31/07/2025,ACT/ACT
